epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.087,1.40651,2.90929,1.48349,0.80307,0.61165,0.68461,0.43668,1.22419,4.91172,1.42973,0.00331081,0.00331081,0.00331081
2,168.16,1.24879,1.50395,1.30456,0.7489,0.58172,0.65044,0.41749,1.31844,2.36205,1.42507,0.00661126,0.00661126,0.00661126
3,205.569,1.34671,1.32974,1.36347,0.56284,0.42961,0.43032,0.24012,1.68592,14.7764,1.83064,0.0098787,0.0098787,0.0098787
4,241.307,1.43192,1.32828,1.42619,0.57406,0.46234,0.48098,0.31046,1.36248,16.1669,1.49821,0.0098515,0.0098515,0.0098515
5,276.257,1.37411,1.20812,1.39468,0.81339,0.61893,0.69461,0.42979,1.37691,1.61091,1.5535,0.009802,0.009802,0.009802
6,310.94,1.33801,1.14453,1.37939,0.82168,0.66586,0.71953,0.46288,1.27847,1.1968,1.41071,0.0097525,0.0097525,0.0097525
7,345.631,1.31059,1.09923,1.35893,0.77905,0.66262,0.69862,0.43374,1.39368,1.40813,1.43551,0.009703,0.009703,0.009703
8,380.791,1.28456,1.05853,1.33964,0.8529,0.65675,0.72961,0.48522,1.22095,0.92601,1.42005,0.0096535,0.0096535,0.0096535
9,415.402,1.27068,1.02317,1.33341,0.82737,0.63754,0.6979,0.45277,1.31972,1.1176,1.52853,0.009604,0.009604,0.009604
10,450.236,1.24618,1.00263,1.32278,0.80003,0.60761,0.65902,0.40024,1.35247,1.31282,1.49066,0.0095545,0.0095545,0.0095545
11,487.275,1.23533,0.96606,1.30333,0.85819,0.66828,0.74844,0.49403,1.30826,0.93171,1.47274,0.009505,0.009505,0.009505
12,525.853,1.22435,0.96921,1.30547,0.83521,0.66586,0.72658,0.46658,1.20212,1.07125,1.38816,0.0094555,0.0094555,0.0094555
13,562.091,1.21257,0.94315,1.29424,0.84861,0.66424,0.74782,0.48998,1.22457,0.91369,1.41847,0.009406,0.009406,0.009406
14,597.807,1.19886,0.92737,1.28454,0.86718,0.6973,0.77317,0.52233,1.16739,0.83511,1.35579,0.0093565,0.0093565,0.0093565
