epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.218,1.49485,2.70951,1.54276,0.82243,0.64551,0.73774,0.42439,1.46458,2.30473,1.28896,0.00329787,0.00329787,0.00329787
2,52.6553,1.31334,1.51607,1.30051,0.70331,0.57117,0.62978,0.3447,1.54287,1.60093,1.33674,0.00661245,0.00661245,0.00661245
3,76.3681,1.36852,1.33539,1.3611,0.41979,0.55827,0.38227,0.20128,1.61733,2.68995,1.59555,0.00990817,0.00990817,0.00990817
4,99.6029,1.41515,1.27715,1.42393,0.79374,0.60906,0.68955,0.39918,1.58457,1.75415,1.537,0.00991514,0.00991514,0.00991514
5,122.544,1.37767,1.20161,1.41949,0.82786,0.61724,0.67448,0.40056,1.63743,1.62163,1.60844,0.00988686,0.00988686,0.00988686
6,145.349,1.35974,1.1507,1.40871,0.78945,0.56614,0.64795,0.38671,1.56012,1.55382,1.45468,0.00985857,0.00985857,0.00985857
7,168.729,1.33716,1.10312,1.39744,0.80703,0.66614,0.75723,0.44103,1.61156,1.49024,1.50621,0.00983029,0.00983029,0.00983029
8,191.458,1.30441,1.03799,1.38124,0.85429,0.73622,0.82128,0.50019,1.47027,1.05149,1.42128,0.009802,0.009802,0.009802
9,213.819,1.29657,1.04113,1.38449,0.85365,0.74863,0.82744,0.51121,1.43682,1.19668,1.43995,0.00977371,0.00977371,0.00977371
10,236.246,1.26732,0.99578,1.37234,0.87,0.76693,0.86692,0.5466,1.34552,0.93441,1.37079,0.00974543,0.00974543,0.00974543
11,259.166,1.26324,0.98537,1.35635,0.85327,0.79764,0.85997,0.56454,1.3028,0.8888,1.36031,0.00971714,0.00971714,0.00971714
12,281.5,1.2533,0.9793,1.35847,0.86715,0.77611,0.84307,0.55203,1.3089,0.88821,1.36209,0.00968886,0.00968886,0.00968886
13,304.049,1.22661,0.93335,1.34822,0.82982,0.78712,0.85175,0.54163,1.33379,1.22553,1.34522,0.00966057,0.00966057,0.00966057
14,326.465,1.21509,0.92572,1.34247,0.85489,0.82569,0.89247,0.58876,1.27018,0.80259,1.33817,0.00963229,0.00963229,0.00963229
15,349.099,1.21028,0.9158,1.34159,0.86484,0.82629,0.89601,0.5877,1.31691,0.80838,1.32283,0.009604,0.009604,0.009604
16,371.366,1.19737,0.90033,1.33441,0.83764,0.8252,0.88043,0.58982,1.22429,0.91122,1.31309,0.00957571,0.00957571,0.00957571
17,393.871,1.19844,0.90851,1.3374,0.8808,0.82441,0.89825,0.60874,1.2381,0.75359,1.29407,0.00954743,0.00954743,0.00954743
