epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.291,1.31427,1.40953,1.56508,0.8876,0.78859,0.87458,0.56351,1.3076,0.76641,1.56611,0.00332442,0.00332442,0.00332442
2,547.545,1.26349,1.00983,1.48801,0.85406,0.81431,0.87624,0.56065,1.29996,0.85381,1.53848,0.00663578,0.00663578,0.00663578
3,993.806,1.37394,1.15647,1.56711,0.8433,0.70949,0.79907,0.49814,1.41906,1.07481,1.68724,0.00992515,0.00992515,0.00992515
4,1341.42,1.43417,1.20582,1.62284,0.81495,0.51685,0.62642,0.37817,1.60137,1.49919,1.76043,0.009901,0.009901,0.009901
1,150.464,1.2991,1.45075,1.56254,0.84899,0.7747,0.85519,0.5366,1.39771,0.87745,1.51225,0.00332442,0.00332442,0.00332442
2,496.042,1.26366,1.03011,1.49051,0.87158,0.69291,0.79271,0.48683,1.42217,1.05964,1.65066,0.00663578,0.00663578,0.00663578
3,877.982,1.37391,1.15289,1.57653,0.76424,0.59134,0.6834,0.38267,1.79512,3.64658,1.98939,0.00992515,0.00992515,0.00992515
4,1258.5,1.44808,1.22472,1.63589,0.78592,0.6851,0.78235,0.48058,1.46954,1.50788,1.65504,0.009901,0.009901,0.009901
5,1647.46,1.41018,1.18596,1.60039,0.77757,0.70787,0.76775,0.47723,1.39879,1.06028,1.62144,0.009868,0.009868,0.009868
6,1935.3,1.36313,1.09317,1.55735,0.85068,0.73228,0.8236,0.49403,1.46283,0.97444,1.66031,0.009835,0.009835,0.009835
7,2356.05,1.33703,1.05676,1.5487,0.85043,0.77903,0.8572,0.54489,1.34498,0.97049,1.5616,0.009802,0.009802,0.009802
8,2684.52,1.31107,1.02151,1.51839,0.85138,0.78346,0.85789,0.5468,1.33466,1.00161,1.52732,0.009769,0.009769,0.009769
9,3088.54,1.30562,0.99814,1.51872,0.84981,0.78346,0.8726,0.56898,1.29719,0.89035,1.50116,0.009736,0.009736,0.009736
10,3518.89,1.27203,0.96844,1.48159,0.89021,0.78531,0.89261,0.55422,1.38038,0.76659,1.56357,0.009703,0.009703,0.009703
11,3799.19,1.2518,0.93515,1.46846,0.86044,0.83071,0.89312,0.56646,1.36001,0.77005,1.54618,0.00967,0.00967,0.00967
12,4186.62,1.23397,0.90567,1.45929,0.87739,0.82266,0.89824,0.58664,1.29403,0.74036,1.4866,0.009637,0.009637,0.009637
13,4615.58,1.22659,0.89889,1.45879,0.88802,0.79449,0.89905,0.57591,1.3297,0.74376,1.52854,0.009604,0.009604,0.009604
14,4986.72,1.19519,0.86902,1.4272,0.89309,0.82218,0.90533,0.59919,1.26681,0.71078,1.46744,0.009571,0.009571,0.009571
15,5395.46,1.20305,0.87827,1.43628,0.8834,0.82324,0.91002,0.6049,1.28368,0.69685,1.4741,0.009538,0.009538,0.009538
