epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.6312,1.47074,2.42324,1.56654,0.84301,0.72871,0.81569,0.54285,1.23904,1.40064,1.32744,0.00331707,0.00331707,0.00331707
2,110.815,1.29974,1.37818,1.39894,0.8133,0.66667,0.73854,0.45896,1.46254,1.30385,1.45193,0.0066316,0.0066316,0.0066316
3,162.939,1.36571,1.27168,1.446,0.74645,0.63093,0.6825,0.40317,1.59449,1.90996,1.7807,0.00992726,0.00992726,0.00992726
4,215.48,1.40578,1.2439,1.51601,0.80948,0.58547,0.69509,0.43123,1.52043,1.34654,1.57871,0.00991514,0.00991514,0.00991514
5,266.88,1.35829,1.12776,1.49041,0.86962,0.7617,0.8346,0.53543,1.40389,0.93527,1.53485,0.00988686,0.00988686,0.00988686
6,318.322,1.3181,1.0577,1.46536,0.84664,0.75329,0.82823,0.51222,1.41942,0.99086,1.56202,0.00985857,0.00985857,0.00985857
7,371.187,1.29826,1.032,1.45766,0.85079,0.76536,0.84418,0.53953,1.33854,1.21492,1.48493,0.00983029,0.00983029,0.00983029
8,424.105,1.27489,0.98804,1.44067,0.84388,0.8109,0.87057,0.58862,1.25803,0.80142,1.4189,0.009802,0.009802,0.009802
9,475.698,1.26317,0.9692,1.43331,0.86732,0.75619,0.83485,0.53952,1.31982,0.86906,1.49892,0.00977371,0.00977371,0.00977371
10,528.646,1.24286,0.95525,1.41582,0.86939,0.75825,0.84496,0.56848,1.25749,0.92274,1.42668,0.00974543,0.00974543,0.00974543
11,583.683,1.22107,0.93095,1.40292,0.87493,0.82833,0.88967,0.61788,1.16866,0.71708,1.36067,0.00971714,0.00971714,0.00971714
12,635.888,1.21333,0.93006,1.40169,0.86678,0.81779,0.88693,0.61339,1.16319,0.72143,1.36577,0.00968886,0.00968886,0.00968886
13,688.213,1.20014,0.91356,1.39132,0.85992,0.81164,0.8806,0.61462,1.13368,0.76621,1.34587,0.00966057,0.00966057,0.00966057
14,739.678,1.18633,0.89071,1.37888,0.86954,0.83797,0.90064,0.62871,1.15851,0.71908,1.35507,0.00963229,0.00963229,0.00963229
15,790.777,1.18337,0.88321,1.37765,0.88222,0.82485,0.89829,0.62403,1.15398,0.67441,1.35937,0.009604,0.009604,0.009604
16,840.813,1.17778,0.88282,1.37022,0.88243,0.84056,0.90366,0.63756,1.12434,0.65289,1.33602,0.00957571,0.00957571,0.00957571
17,891.624,1.1771,0.86189,1.37233,0.8791,0.83305,0.90401,0.63913,1.12259,0.67176,1.33583,0.00954743,0.00954743,0.00954743
