epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.834,1.32693,1.52415,1.56715,0.86362,0.79362,0.86804,0.55649,1.30616,0.7801,1.50205,0.00331707,0.00331707,0.00331707
2,374.284,1.23277,0.94515,1.44118,0.83669,0.73378,0.80459,0.50338,1.35996,1.18694,1.6674,0.0066316,0.0066316,0.0066316
3,551.448,1.34647,1.10409,1.52976,0.39827,0.26066,0.23852,0.10051,2.4631,4.4528,2.53746,0.00992726,0.00992726,0.00992726
4,728.911,1.40948,1.18388,1.58825,0.79362,0.63877,0.71206,0.42283,1.46669,2.04764,1.69066,0.00991514,0.00991514,0.00991514
5,906.381,1.34656,1.08166,1.53474,0.82787,0.70449,0.79556,0.47692,1.41617,1.23052,1.63166,0.00988686,0.00988686,0.00988686
6,1083.49,1.30135,1.02531,1.49486,0.84294,0.69448,0.78534,0.50078,1.33849,0.96628,1.54257,0.00985857,0.00985857,0.00985857
7,1262.1,1.24963,0.95025,1.45925,0.87489,0.78303,0.8575,0.52627,1.38704,0.79489,1.56869,0.00983029,0.00983029,0.00983029
8,196.74,1.22537,0.91935,1.44278,0.88281,0.81609,0.89161,0.61205,1.14277,0.72722,1.40028,0.009802,0.009802,0.009802
9,373.612,1.20135,0.89616,1.42502,0.87452,0.82693,0.89695,0.60177,1.18977,0.72699,1.42682,0.00977371,0.00977371,0.00977371
10,550.035,1.17771,0.86517,1.40632,0.88997,0.8198,0.89903,0.62581,1.12262,0.67148,1.37218,0.00974543,0.00974543,0.00974543
11,727.069,1.16251,0.83753,1.39683,0.885,0.79893,0.88063,0.60346,1.15545,0.70301,1.39169,0.00971714,0.00971714,0.00971714
12,903.441,1.1474,0.81742,1.38613,0.8806,0.83055,0.90166,0.63212,1.12312,0.65767,1.36805,0.00968886,0.00968886,0.00968886
13,1079.9,1.13267,0.80851,1.37156,0.89583,0.84575,0.91304,0.63951,1.1141,0.61944,1.35506,0.00966057,0.00966057,0.00966057
14,1256.98,1.10988,0.78116,1.35533,0.89009,0.80163,0.89183,0.62705,1.09326,0.66702,1.35466,0.00963229,0.00963229,0.00963229
15,1433.6,1.1184,0.78442,1.36332,0.88845,0.8505,0.92041,0.65732,1.05615,0.58018,1.32923,0.009604,0.009604,0.009604
16,1610.44,1.11312,0.77508,1.35811,0.8691,0.87468,0.92497,0.66583,1.04166,0.5866,1.30951,0.00957571,0.00957571,0.00957571
17,1787.88,1.08888,0.75956,1.34502,0.89084,0.85932,0.92591,0.66663,1.05161,0.57139,1.32217,0.00954743,0.00954743,0.00954743
18,1964.98,1.09527,0.75502,1.34692,0.87321,0.8682,0.92125,0.65632,1.06086,0.61473,1.32392,0.00951914,0.00951914,0.00951914
19,2141.96,1.08262,0.73944,1.33672,0.8787,0.87468,0.92859,0.66035,1.06634,0.59438,1.32903,0.00949086,0.00949086,0.00949086
20,2318.15,1.06925,0.73039,1.32438,0.89017,0.8617,0.92952,0.67175,1.03093,0.5715,1.31369,0.00946257,0.00946257,0.00946257
21,2494.6,1.05555,0.72059,1.32023,0.89891,0.88027,0.93553,0.68256,1.01295,0.53696,1.29399,0.00943429,0.00943429,0.00943429
22,2671.64,1.05258,0.71916,1.31306,0.87261,0.90768,0.94104,0.69667,0.96808,0.5174,1.26909,0.009406,0.009406,0.009406
23,2848.75,1.0502,0.71453,1.314,0.88974,0.88654,0.93958,0.69794,0.97049,0.51144,1.26799,0.00937771,0.00937771,0.00937771
24,3025.41,1.04335,0.70459,1.31057,0.90961,0.88506,0.9444,0.69592,0.987,0.50364,1.28501,0.00934943,0.00934943,0.00934943
25,3201.5,1.03047,0.69411,1.30325,0.89449,0.89284,0.94386,0.70486,0.9648,0.49905,1.25754,0.00932114,0.00932114,0.00932114
26,3378.51,1.02203,0.69031,1.29489,0.90601,0.89355,0.9492,0.71328,0.94604,0.48763,1.2485,0.00929286,0.00929286,0.00929286
27,3555.53,1.01267,0.67681,1.2873,0.90456,0.89964,0.9482,0.71603,0.92922,0.47999,1.23955,0.00926457,0.00926457,0.00926457
28,3732.87,1.01221,0.6797,1.28371,0.91049,0.89389,0.9452,0.7122,0.92743,0.48925,1.24173,0.00923629,0.00923629,0.00923629
29,3909.34,1.00009,0.6751,1.28067,0.90788,0.90261,0.95113,0.72563,0.90705,0.46986,1.23023,0.009208,0.009208,0.009208
30,4086.3,0.99066,0.66762,1.27265,0.89944,0.91064,0.95231,0.71989,0.92087,0.47545,1.23782,0.00917971,0.00917971,0.00917971
31,4262.97,0.986,0.65449,1.26587,0.90517,0.90959,0.95372,0.73073,0.89014,0.46267,1.21995,0.00915143,0.00915143,0.00915143
32,4439.84,0.978,0.64213,1.26319,0.90932,0.90726,0.95612,0.73209,0.89186,0.45355,1.22449,0.00912314,0.00912314,0.00912314
33,4616.62,0.97245,0.65166,1.25988,0.90937,0.92028,0.95777,0.73624,0.87791,0.44969,1.20715,0.00909486,0.00909486,0.00909486
34,4793.14,0.96497,0.64377,1.25592,0.90225,0.91843,0.95915,0.74583,0.86576,0.4387,1.20362,0.00906657,0.00906657,0.00906657
35,4970.23,0.96844,0.64359,1.25563,0.90965,0.91732,0.95898,0.74646,0.86428,0.43554,1.20163,0.00903829,0.00903829,0.00903829
36,5147.09,0.95401,0.63398,1.24871,0.91115,0.92251,0.95974,0.74805,0.85755,0.42619,1.20258,0.00901,0.00901,0.00901
37,5324.37,0.95565,0.6347,1.25093,0.90168,0.92486,0.95955,0.74698,0.85173,0.43142,1.19751,0.00898171,0.00898171,0.00898171
38,5500.89,0.94704,0.62763,1.24525,0.90816,0.93548,0.96317,0.75408,0.84678,0.42265,1.19286,0.00895343,0.00895343,0.00895343
39,5677.73,0.94051,0.61859,1.23944,0.90992,0.93103,0.96325,0.75729,0.83856,0.41839,1.18834,0.00892514,0.00892514,0.00892514
40,5854.75,0.93494,0.61552,1.23426,0.91147,0.91994,0.96368,0.75742,0.82873,0.41833,1.18035,0.00889686,0.00889686,0.00889686
41,6031.8,0.9269,0.60814,1.22746,0.90998,0.93252,0.96291,0.76556,0.81631,0.40671,1.17056,0.00886857,0.00886857,0.00886857
42,6208.81,0.92241,0.60427,1.22706,0.91268,0.93066,0.96546,0.76454,0.81216,0.40729,1.1717,0.00884029,0.00884029,0.00884029
43,6385.16,0.92542,0.61448,1.2277,0.92513,0.92288,0.965,0.76584,0.81258,0.4046,1.17046,0.008812,0.008812,0.008812
44,6562.12,0.90657,0.59757,1.21749,0.917,0.92955,0.96612,0.76478,0.82286,0.40412,1.17457,0.00878371,0.00878371,0.00878371
45,6738.9,0.91408,0.60403,1.2193,0.92037,0.92567,0.96738,0.7711,0.80247,0.3961,1.16369,0.00875543,0.00875543,0.00875543
46,6915.84,0.90627,0.59093,1.21355,0.91222,0.9402,0.96668,0.77473,0.79852,0.39426,1.16293,0.00872714,0.00872714,0.00872714
47,7093.06,0.89813,0.59002,1.20867,0.91252,0.9403,0.96758,0.77398,0.7898,0.38844,1.15535,0.00869886,0.00869886,0.00869886
48,7269.21,0.8897,0.58624,1.20407,0.92611,0.93416,0.9695,0.77834,0.78133,0.38426,1.15304,0.00867057,0.00867057,0.00867057
49,7446.19,0.89208,0.58473,1.20673,0.9137,0.9518,0.96998,0.78482,0.77427,0.37904,1.14487,0.00864229,0.00864229,0.00864229
50,7623.18,0.88722,0.57811,1.20277,0.92653,0.93808,0.97024,0.78437,0.77291,0.3761,1.14536,0.008614,0.008614,0.008614
51,7799.63,0.88065,0.57612,1.19854,0.927,0.93882,0.96929,0.7862,0.76888,0.37533,1.14389,0.00858571,0.00858571,0.00858571
52,7976.54,0.87592,0.56828,1.19555,0.92558,0.94105,0.97076,0.78761,0.76266,0.37055,1.13883,0.00855743,0.00855743,0.00855743
53,8152.99,0.87236,0.5714,1.19217,0.92767,0.94155,0.97127,0.79284,0.75153,0.36463,1.13552,0.00852914,0.00852914,0.00852914
54,8329.75,0.87361,0.5674,1.19209,0.93141,0.94253,0.97266,0.79532,0.74502,0.36057,1.13158,0.00850086,0.00850086,0.00850086
55,8506.63,0.85896,0.55876,1.18334,0.93477,0.94327,0.97305,0.79607,0.74091,0.35747,1.12935,0.00847257,0.00847257,0.00847257
56,8683.71,0.85568,0.54957,1.17918,0.92664,0.95365,0.9721,0.79894,0.73568,0.35232,1.12491,0.00844429,0.00844429,0.00844429
57,8860.78,0.85683,0.56511,1.18123,0.94095,0.93951,0.97195,0.80035,0.72942,0.35008,1.11979,0.008416,0.008416,0.008416
58,9037.73,0.85573,0.55494,1.1832,0.93685,0.94253,0.97189,0.80209,0.7254,0.34852,1.11815,0.00838771,0.00838771,0.00838771
