epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1757,1.40297,3.36445,1.72953,0.19661,0.10811,0.06023,0.04417,2.41568,8.57159,2.81923,0.00046641,0.00046641,0.00046641
2,30.9345,1.28087,1.78257,1.64832,0.13453,0.00775,0.0172,0.0128,2.64296,4.98555,3.30083,0.000939632,0.000939632,0.000939632
3,46.4332,1.3015,1.42779,1.65149,0.62886,0.61391,0.64901,0.49169,0.91776,1.33013,1.21159,0.00140971,0.00140971,0.00140971
4,65.1366,1.27884,1.26676,1.62847,0.73923,0.66969,0.78824,0.6113,0.86788,0.93557,1.22008,0.00141485,0.00141485,0.00141485
5,82.4264,1.25382,1.20867,1.58532,0.66322,0.71404,0.69601,0.54341,0.78712,1.16418,1.13601,0.00141014,0.00141014,0.00141014
6,97.1911,1.18664,1.15106,1.53345,0.63046,0.76332,0.77742,0.60557,0.87279,0.9785,1.18647,0.00140542,0.00140542,0.00140542
7,112.226,1.21012,1.08183,1.54598,0.69133,0.79287,0.8197,0.62969,0.88241,0.9229,1.20704,0.00140071,0.00140071,0.00140071
8,130.593,1.21147,1.10129,1.5338,0.77318,0.75823,0.84279,0.67017,0.77788,0.87613,1.13298,0.00139599,0.00139599,0.00139599
9,148.587,1.15055,1.07122,1.50889,0.76971,0.80005,0.85706,0.63747,0.9515,0.84182,1.21443,0.00139127,0.00139127,0.00139127
10,163.975,1.1412,1.018,1.49031,0.64835,0.9015,0.8535,0.7008,0.71786,0.82982,1.10417,0.00138656,0.00138656,0.00138656
11,181.235,1.14897,1.04229,1.4928,0.75681,0.76961,0.82929,0.67517,0.76846,0.75701,1.12402,0.00138184,0.00138184,0.00138184
12,196.733,1.12026,1.01767,1.48333,0.7602,0.80617,0.80874,0.66762,0.66406,0.84971,1.07681,0.00137713,0.00137713,0.00137713
13,211.716,1.12127,0.97288,1.47251,0.75207,0.77194,0.83827,0.67386,0.75801,0.9351,1.10971,0.00137241,0.00137241,0.00137241
14,226.276,1.09227,0.97231,1.46446,0.72222,0.8405,0.85848,0.71613,0.68587,0.76547,1.08532,0.0013677,0.0013677,0.0013677
15,244.008,1.10379,0.90021,1.46453,0.78406,0.8276,0.88864,0.74238,0.71755,0.69103,1.08104,0.00136298,0.00136298,0.00136298
16,261.24,1.09821,0.93717,1.46009,0.7367,0.75295,0.81407,0.64591,0.83046,0.84247,1.17649,0.00135826,0.00135826,0.00135826
17,276.927,1.05004,0.94365,1.42687,0.75224,0.85239,0.85884,0.72599,0.68972,0.70004,1.079,0.00135355,0.00135355,0.00135355
18,292.153,1.06013,0.90819,1.43488,0.7998,0.84188,0.89826,0.76281,0.62504,0.67877,1.05317,0.00134883,0.00134883,0.00134883
19,310.434,1.05551,0.92692,1.43016,0.74698,0.87013,0.8671,0.72543,0.69117,0.69156,1.08336,0.00134412,0.00134412,0.00134412
20,325.758,1.03373,0.89786,1.41018,0.82629,0.75213,0.84305,0.7024,0.66278,0.77789,1.07285,0.0013394,0.0013394,0.0013394
21,341.004,1.05669,0.89603,1.41724,0.87106,0.8526,0.92644,0.78553,0.65377,0.58579,1.04607,0.00133469,0.00133469,0.00133469
22,358.478,1.03902,0.88377,1.39033,0.75369,0.82499,0.89445,0.75005,0.62947,0.7296,1.04343,0.00132997,0.00132997,0.00132997
23,373.809,1.03756,0.89592,1.41819,0.84871,0.85498,0.92248,0.78347,0.629,0.57776,1.04703,0.00132525,0.00132525,0.00132525
24,388.728,1.02581,0.86181,1.39501,0.82635,0.81637,0.87976,0.73796,0.66087,0.65189,1.05832,0.00132054,0.00132054,0.00132054
25,403.865,1.06756,0.87864,1.41565,0.83962,0.89799,0.92813,0.78061,0.64888,0.56983,1.05347,0.00131582,0.00131582,0.00131582
26,418.89,1.03418,0.86808,1.4159,0.84658,0.86455,0.90886,0.74906,0.72951,0.60714,1.08941,0.00131111,0.00131111,0.00131111
27,433.663,1.0257,0.83832,1.39932,0.78836,0.87714,0.90384,0.69334,0.88106,0.66751,1.16349,0.00130639,0.00130639,0.00130639
28,448.906,1.01335,0.82781,1.37993,0.79521,0.84136,0.88637,0.74133,0.69237,0.64925,1.08765,0.00130168,0.00130168,0.00130168
29,464.134,1.00069,0.82123,1.3746,0.83137,0.82723,0.90292,0.72217,0.81671,0.64206,1.14379,0.00129696,0.00129696,0.00129696
30,479.702,1.00309,0.78338,1.37292,0.85278,0.76332,0.91417,0.76029,0.69517,0.70248,1.08492,0.00129224,0.00129224,0.00129224
31,494.57,0.95994,0.76674,1.3442,0.83409,0.86936,0.92842,0.76633,0.72866,0.55997,1.09753,0.00128753,0.00128753,0.00128753
32,510.76,1.0108,0.79316,1.37095,0.89107,0.87597,0.93736,0.78677,0.69175,0.52008,1.07092,0.00128281,0.00128281,0.00128281
33,529.358,1.00604,0.82208,1.37895,0.8469,0.8859,0.93129,0.77245,0.74183,0.53672,1.08939,0.0012781,0.0012781,0.0012781
34,544.533,1.00433,0.78178,1.38417,0.84972,0.78436,0.91428,0.77086,0.64321,0.6484,1.06095,0.00127338,0.00127338,0.00127338
35,560.731,1.01282,0.80447,1.39426,0.80587,0.90595,0.93558,0.78847,0.65331,0.55973,1.06153,0.00126867,0.00126867,0.00126867
36,578.587,0.99563,0.78869,1.37665,0.80832,0.92368,0.93015,0.80401,0.64837,0.512,1.05282,0.00126395,0.00126395,0.00126395
37,596.934,1.00879,0.8075,1.37863,0.87892,0.85284,0.93203,0.81931,0.58749,0.5382,1.02994,0.00125923,0.00125923,0.00125923
38,615.366,0.95006,0.74482,1.34076,0.85624,0.90282,0.95072,0.81913,0.59969,0.49423,1.03063,0.00125452,0.00125452,0.00125452
39,633.917,0.97194,0.79497,1.35461,0.91354,0.87096,0.95231,0.81757,0.60177,0.49172,1.03324,0.0012498,0.0012498,0.0012498
40,649.294,0.9742,0.74324,1.34684,0.87498,0.9254,0.9556,0.80894,0.64279,0.49373,1.04889,0.00124509,0.00124509,0.00124509
41,665.733,0.97309,0.77709,1.35278,0.80496,0.87434,0.92544,0.78518,0.67278,0.60185,1.06325,0.00124037,0.00124037,0.00124037
42,680.648,0.96256,0.7401,1.34715,0.78963,0.83355,0.91385,0.78379,0.65172,0.65646,1.0494,0.00123566,0.00123566,0.00123566
43,696.175,0.97072,0.74968,1.34628,0.88911,0.8685,0.94132,0.80923,0.60235,0.52279,1.04402,0.00123094,0.00123094,0.00123094
44,711.788,0.94115,0.70448,1.33153,0.84171,0.84361,0.90875,0.74544,0.71885,0.63125,1.1004,0.00122622,0.00122622,0.00122622
45,727.706,0.95842,0.7569,1.33848,0.88314,0.83379,0.93572,0.79149,0.63055,0.55724,1.04244,0.00122151,0.00122151,0.00122151
46,742.723,0.9517,0.74407,1.34065,0.88116,0.89592,0.94742,0.823,0.60718,0.48967,1.03342,0.00121679,0.00121679,0.00121679
47,761.607,0.95905,0.75345,1.34437,0.88623,0.88423,0.94128,0.79716,0.62812,0.50454,1.04186,0.00121208,0.00121208,0.00121208
48,777.2,0.95032,0.69728,1.34652,0.86296,0.87691,0.93805,0.77951,0.6879,0.51134,1.06928,0.00120736,0.00120736,0.00120736
49,793.158,0.95084,0.7326,1.32173,0.83571,0.87122,0.92739,0.81321,0.55679,0.54878,1.01668,0.00120265,0.00120265,0.00120265
50,808.495,0.93872,0.71826,1.33804,0.87923,0.87128,0.94366,0.78025,0.71619,0.56133,1.09017,0.00119793,0.00119793,0.00119793
51,823.903,0.94333,0.70936,1.3353,0.91587,0.89815,0.95157,0.82887,0.56321,0.46641,1.01365,0.00119322,0.00119322,0.00119322
52,842.183,0.9202,0.68894,1.30929,0.87404,0.9211,0.93778,0.81549,0.61567,0.488,1.03768,0.0011885,0.0011885,0.0011885
53,857.519,0.92969,0.70689,1.31559,0.86287,0.901,0.93994,0.82128,0.57281,0.48022,1.02242,0.00118378,0.00118378,0.00118378
