epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8175,1.44705,3.99457,1.82457,0.33208,0.17321,0.1568,0.10807,2.00956,2.71402,1.79631,0.00046641,0.00046641,0.00046641
2,29.362,1.24451,1.80029,1.64376,0.08663,0.0373,0.02444,0.01698,2.89577,17.4614,2.61825,0.000939632,0.000939632,0.000939632
3,44.1053,1.22682,1.46789,1.62979,0.18916,0.49499,0.22281,0.14836,1.22897,2.39669,1.55763,0.00140971,0.00140971,0.00140971
4,61.9059,1.35199,1.39822,1.75152,0.21278,0.42755,0.24674,0.15375,1.59559,2.59982,1.67777,0.00141485,0.00141485,0.00141485
5,78.5775,1.21655,1.29637,1.6062,0.45152,0.37345,0.39005,0.30108,1.13397,2.46618,1.48029,0.00141014,0.00141014,0.00141014
6,96.2323,1.25317,1.22434,1.6329,0.53234,0.73056,0.63353,0.50989,0.78142,1.10324,1.12911,0.00140542,0.00140542,0.00140542
7,113.157,1.22309,1.16865,1.60041,0.65669,0.65738,0.72733,0.55775,0.92753,1.05197,1.22866,0.00140071,0.00140071,0.00140071
8,130.2,1.186,1.14299,1.57477,0.68689,0.75645,0.77611,0.58978,0.90759,0.93123,1.18708,0.00139599,0.00139599,0.00139599
9,146.511,1.1371,1.07933,1.52995,0.65801,0.79429,0.78981,0.58525,0.9587,0.98355,1.21943,0.00139127,0.00139127,0.00139127
10,161.292,1.17358,1.10085,1.55763,0.66828,0.78379,0.77483,0.54355,1.12436,0.94664,1.33805,0.00138656,0.00138656,0.00138656
11,176.553,1.13318,1.10794,1.51865,0.6957,0.74831,0.80406,0.60453,0.95637,0.97191,1.2319,0.00138184,0.00138184,0.00138184
12,193.873,1.12681,1.06025,1.51499,0.6782,0.73677,0.78107,0.58345,0.95237,0.98891,1.22351,0.00137713,0.00137713,0.00137713
13,208.294,1.16743,1.02569,1.54329,0.65374,0.85503,0.79659,0.59124,0.99765,0.84792,1.23902,0.00137241,0.00137241,0.00137241
14,223.454,1.10807,1.01853,1.49513,0.72979,0.76857,0.80986,0.64576,0.83741,0.84991,1.15003,0.0013677,0.0013677,0.0013677
15,240.742,1.11484,0.97898,1.50743,0.69924,0.72002,0.75133,0.60101,0.8513,0.95835,1.21272,0.00136298,0.00136298,0.00136298
16,255.173,1.12676,0.97164,1.53493,0.68916,0.76464,0.79213,0.57164,1.07349,0.97817,1.2883,0.00135826,0.00135826,0.00135826
17,269.886,1.10254,0.9999,1.50299,0.66182,0.7513,0.76171,0.6292,0.78872,0.90803,1.13159,0.00135355,0.00135355,0.00135355
18,284.268,1.1298,0.98339,1.52343,0.6939,0.78669,0.80422,0.66143,0.78437,0.85203,1.14345,0.00134883,0.00134883,0.00134883
19,300.926,1.10141,0.9475,1.49675,0.80545,0.78281,0.8625,0.67767,0.78693,0.78284,1.14463,0.00134412,0.00134412,0.00134412
20,318.476,1.12982,0.95052,1.51955,0.69591,0.80111,0.82877,0.67215,0.75219,0.79423,1.12389,0.0013394,0.0013394,0.0013394
21,333.104,1.0975,0.90364,1.45707,0.68796,0.82606,0.85795,0.6814,0.82087,0.99817,1.14375,0.00133469,0.00133469,0.00133469
22,350.899,1.08796,0.88722,1.47286,0.67608,0.82737,0.84061,0.60463,1.02705,0.90991,1.26102,0.00132997,0.00132997,0.00132997
23,365.582,1.09625,0.92737,1.47579,0.76913,0.74027,0.87224,0.68268,0.87337,0.82411,1.16242,0.00132525,0.00132525,0.00132525
24,382.24,1.04138,0.9461,1.44892,0.70785,0.81589,0.82193,0.66937,0.77368,0.78805,1.12745,0.00132054,0.00132054,0.00132054
25,397.318,1.05412,0.86374,1.43951,0.82032,0.79272,0.88465,0.70291,0.86332,0.74251,1.14568,0.00131582,0.00131582,0.00131582
26,414.621,1.0777,0.87193,1.45637,0.67573,0.82578,0.80653,0.65178,0.76986,0.95138,1.1054,0.00131111,0.00131111,0.00131111
27,431.052,1.03482,0.88749,1.42521,0.75821,0.74607,0.8183,0.65154,0.87044,0.95164,1.16854,0.00130639,0.00130639,0.00130639
28,445.993,1.0161,0.84095,1.40936,0.69782,0.80546,0.8366,0.65645,0.8711,0.84059,1.15431,0.00130168,0.00130168,0.00130168
29,462.242,1.07552,0.90114,1.46613,0.69976,0.88977,0.87186,0.6775,0.87691,0.75065,1.1681,0.00129696,0.00129696,0.00129696
30,476.91,1.04922,0.86501,1.44375,0.7489,0.82541,0.86295,0.64428,0.93902,0.76886,1.2004,0.00129224,0.00129224,0.00129224
31,492.759,1.04871,0.82645,1.42653,0.7138,0.81865,0.86062,0.70268,0.7389,0.73229,1.09473,0.00128753,0.00128753,0.00128753
32,507.488,1.01778,0.8521,1.40621,0.62475,0.84175,0.83523,0.62228,0.94147,0.97864,1.17637,0.00128281,0.00128281,0.00128281
33,523.856,1.03161,0.81941,1.42075,0.71066,0.84732,0.87618,0.72279,0.69569,0.72553,1.0733,0.0012781,0.0012781,0.0012781
34,541.421,1.03781,0.78836,1.42964,0.8166,0.77831,0.8802,0.72735,0.77455,0.71135,1.10953,0.00127338,0.00127338,0.00127338
35,559.308,1.05848,0.79762,1.45278,0.70826,0.75995,0.81733,0.6619,0.8117,0.81078,1.15074,0.00126867,0.00126867,0.00126867
36,574.327,1.03865,0.81291,1.43777,0.68461,0.65452,0.73565,0.60101,0.78049,0.89451,1.16878,0.00126395,0.00126395,0.00126395
37,590.049,1.02987,0.82217,1.43079,0.84405,0.8077,0.89702,0.73976,0.74429,0.65254,1.10136,0.00125923,0.00125923,0.00125923
38,608.585,0.95778,0.7836,1.3773,0.79718,0.79948,0.89115,0.73859,0.69599,0.75939,1.06462,0.00125452,0.00125452,0.00125452
39,622.904,1.00463,0.76318,1.39569,0.83192,0.77589,0.89536,0.74729,0.68994,0.65711,1.08042,0.0012498,0.0012498,0.0012498
40,641.915,1.01955,0.75974,1.41534,0.75461,0.88854,0.91217,0.70347,0.88367,0.69835,1.17378,0.00124509,0.00124509,0.00124509
41,656.786,1.02156,0.75195,1.42931,0.76641,0.76399,0.85745,0.70109,0.76527,0.82809,1.12095,0.00124037,0.00124037,0.00124037
42,672.754,0.98416,0.74582,1.37619,0.78105,0.87216,0.90942,0.73426,0.79552,0.61539,1.132,0.00123566,0.00123566,0.00123566
43,687.726,0.9907,0.73512,1.37952,0.79406,0.84374,0.89147,0.71981,0.765,0.66047,1.10798,0.00123094,0.00123094,0.00123094
44,704.518,0.97329,0.7056,1.37259,0.77783,0.89253,0.91393,0.76735,0.68085,0.61506,1.07138,0.00122622,0.00122622,0.00122622
45,722.161,0.99171,0.7458,1.39377,0.76526,0.85797,0.87642,0.72791,0.71462,0.63241,1.09744,0.00122151,0.00122151,0.00122151
46,738.005,0.96359,0.73698,1.37129,0.87958,0.76946,0.88788,0.74994,0.70086,0.63126,1.07602,0.00121679,0.00121679,0.00121679
47,753.451,0.96432,0.71523,1.3633,0.78594,0.73031,0.85931,0.71796,0.75626,0.79769,1.11341,0.00121208,0.00121208,0.00121208
48,768.085,0.96842,0.72999,1.38424,0.80806,0.73804,0.85726,0.72102,0.68903,0.76013,1.08973,0.00120736,0.00120736,0.00120736
49,783.592,0.96279,0.70672,1.38159,0.77908,0.82008,0.87795,0.72285,0.72899,0.67068,1.10623,0.00120265,0.00120265,0.00120265
50,799.002,0.9619,0.69696,1.34326,0.83054,0.76655,0.8812,0.72191,0.78042,0.67458,1.10927,0.00119793,0.00119793,0.00119793
51,814.971,0.96008,0.69054,1.3445,0.84281,0.84203,0.91643,0.74389,0.74713,0.65331,1.09771,0.00119322,0.00119322,0.00119322
52,830.055,0.96392,0.69795,1.37843,0.75968,0.87544,0.88338,0.73193,0.72678,0.67159,1.08873,0.0011885,0.0011885,0.0011885
53,845.421,1.0119,0.74914,1.40977,0.89462,0.85913,0.92034,0.7602,0.70436,0.58035,1.09134,0.00118378,0.00118378,0.00118378
54,860.567,0.94682,0.68362,1.35804,0.84187,0.82536,0.91693,0.75004,0.75226,0.58023,1.10252,0.00117907,0.00117907,0.00117907
55,876.733,0.97252,0.6806,1.36725,0.77397,0.86012,0.9031,0.74291,0.73314,0.62287,1.09732,0.00117435,0.00117435,0.00117435
56,891.77,0.9844,0.68717,1.37894,0.74818,0.79864,0.84949,0.69442,0.74008,0.85472,1.09154,0.00116964,0.00116964,0.00116964
57,907.11,0.98042,0.67719,1.37931,0.81792,0.87848,0.91589,0.76966,0.67442,0.56893,1.06436,0.00116492,0.00116492,0.00116492
58,925.532,0.95594,0.65975,1.36493,0.82368,0.83763,0.91106,0.77144,0.67164,0.59886,1.06585,0.00116021,0.00116021,0.00116021
59,943.621,0.93111,0.6343,1.33503,0.7036,0.84835,0.89266,0.72718,0.79215,0.75139,1.12903,0.00115549,0.00115549,0.00115549
60,958.687,0.94962,0.6773,1.34597,0.8988,0.84569,0.92654,0.75865,0.70933,0.55223,1.09426,0.00115077,0.00115077,0.00115077
61,973.58,0.93075,0.65336,1.33856,0.81629,0.77969,0.87465,0.71844,0.7353,0.74523,1.10475,0.00114606,0.00114606,0.00114606
62,988.171,0.89966,0.66532,1.31679,0.84376,0.85254,0.91555,0.64884,1.103,0.64622,1.31589,0.00114134,0.00114134,0.00114134
63,1003.36,0.90814,0.65382,1.31751,0.83161,0.86699,0.91869,0.75621,0.77164,0.59976,1.10998,0.00113663,0.00113663,0.00113663
64,1018.75,0.94249,0.66898,1.35558,0.90338,0.82507,0.91684,0.7365,0.83348,0.5655,1.13252,0.00113191,0.00113191,0.00113191
65,1035.12,0.89102,0.63584,1.30465,0.81958,0.9049,0.92692,0.76973,0.67172,0.54296,1.06474,0.0011272,0.0011272,0.0011272
66,1053.07,0.91413,0.6352,1.31729,0.88694,0.83836,0.92844,0.77966,0.67381,0.53811,1.07427,0.00112248,0.00112248,0.00112248
67,1071.68,0.90835,0.63564,1.31318,0.79044,0.87584,0.91113,0.73634,0.79488,0.62346,1.13559,0.00111776,0.00111776,0.00111776
68,1086.99,0.89549,0.63643,1.30502,0.6692,0.84272,0.88392,0.73718,0.6709,0.83331,1.06628,0.00111305,0.00111305,0.00111305
69,1101.59,0.90019,0.61747,1.31019,0.90895,0.83473,0.92836,0.78325,0.69455,0.57295,1.08242,0.00110833,0.00110833,0.00110833
70,1119.39,0.89892,0.61451,1.30415,0.85262,0.85324,0.91849,0.74779,0.77003,0.59673,1.12241,0.00110362,0.00110362,0.00110362
71,1134.86,0.88083,0.61753,1.29948,0.84253,0.89351,0.93536,0.77094,0.71064,0.55728,1.08752,0.0010989,0.0010989,0.0010989
