epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3064,1.51539,3.21719,1.8783,0.31796,0.82594,0.39416,0.32967,0.67026,1.49522,1.07385,0.00046641,0.00046641,0.00046641
2,31.5482,1.3054,1.79839,1.66144,0.4695,0.72291,0.63611,0.52414,0.73234,1.30394,1.12054,0.000939632,0.000939632,0.000939632
3,50.0219,1.34732,1.58281,1.68917,0.26155,0.41225,0.34215,0.23568,1.20063,2.39457,1.50316,0.00140971,0.00140971,0.00140971
4,65.2187,1.34706,1.45037,1.67515,0.71826,0.51796,0.54668,0.4092,0.88339,1.57872,1.21947,0.00141485,0.00141485,0.00141485
5,81.4056,1.28799,1.36091,1.59681,0.5595,0.70411,0.6529,0.52658,0.78359,1.24506,1.13487,0.00141014,0.00141014,0.00141014
6,99.0964,1.29722,1.30948,1.61711,0.61685,0.76904,0.75681,0.58831,0.87129,1.02321,1.1732,0.00140542,0.00140542,0.00140542
7,117.73,1.27473,1.34258,1.58972,0.61095,0.75815,0.76231,0.58947,0.84589,0.99938,1.16993,0.00140071,0.00140071,0.00140071
8,135.266,1.25557,1.30911,1.57747,0.67834,0.78746,0.77041,0.58169,0.88631,0.98115,1.20626,0.00139599,0.00139599,0.00139599
9,151.17,1.19128,1.22001,1.5339,0.68372,0.77834,0.78652,0.60671,0.86097,0.96115,1.17145,0.00139127,0.00139127,0.00139127
10,169.764,1.22182,1.23901,1.5499,0.60144,0.86977,0.78613,0.63464,0.78921,0.87134,1.13731,0.00138656,0.00138656,0.00138656
11,188.549,1.17939,1.23683,1.51917,0.64754,0.79259,0.80894,0.66051,0.73787,0.84871,1.12275,0.00138184,0.00138184,0.00138184
12,206.621,1.16531,1.2258,1.49573,0.58436,0.8263,0.80225,0.66373,0.7172,0.91277,1.1078,0.00137713,0.00137713,0.00137713
13,225.866,1.14971,1.18936,1.48021,0.66685,0.82948,0.80969,0.65319,0.81385,0.85798,1.12667,0.00137241,0.00137241,0.00137241
14,241.207,1.151,1.16492,1.48709,0.75271,0.74415,0.82947,0.67388,0.74669,0.80077,1.1012,0.0013677,0.0013677,0.0013677
15,258.963,1.10748,1.14291,1.44207,0.64669,0.83967,0.81062,0.64139,0.79472,0.85429,1.14021,0.00136298,0.00136298,0.00136298
16,274.285,1.12967,1.14034,1.47212,0.7065,0.80647,0.83903,0.71017,0.66277,0.78615,1.06431,0.00135826,0.00135826,0.00135826
17,292.14,1.12413,1.14562,1.47444,0.75272,0.83437,0.87099,0.69678,0.78954,0.76007,1.12173,0.00135355,0.00135355,0.00135355
18,308.63,1.13243,1.0971,1.46674,0.77816,0.74786,0.84318,0.68487,0.78048,0.76737,1.12942,0.00134883,0.00134883,0.00134883
19,323.653,1.07804,1.04974,1.43759,0.72316,0.81246,0.84605,0.66235,0.867,0.76707,1.20822,0.00134412,0.00134412,0.00134412
20,339.387,1.09378,1.02495,1.45707,0.71613,0.81774,0.85393,0.71107,0.71762,0.74573,1.09467,0.0013394,0.0013394,0.0013394
