epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4646,0.884,3.01012,1.24811,0.05023,0.73481,0.05865,0.05514,0.34804,10.837,0.89572,0.00046641,0.00046641,0.00046641
2,31.3744,0.91856,1.73966,1.24656,0.29034,0.82602,0.55074,0.47842,0.53177,1.9317,0.99163,0.000939632,0.000939632,0.000939632
3,51.9171,0.94866,1.51381,1.27313,0.39712,0.80399,0.5767,0.48162,0.67355,1.38649,1.06241,0.00140971,0.00140971,0.00140971
4,71.0829,0.97105,1.39186,1.27156,0.4111,0.78805,0.64655,0.54338,0.63495,1.62247,1.03502,0.00141485,0.00141485,0.00141485
5,90.4262,0.94021,1.29597,1.24626,0.44239,0.74739,0.62176,0.51599,0.65497,1.27169,1.05218,0.00141014,0.00141014,0.00141014
6,105.69,0.95625,1.24355,1.25198,0.52695,0.7983,0.68891,0.58282,0.63186,1.03691,1.03966,0.00140542,0.00140542,0.00140542
7,124.801,0.9563,1.25645,1.25126,0.60242,0.74467,0.70683,0.59295,0.61633,0.98136,1.03825,0.00140071,0.00140071,0.00140071
8,143.64,0.95167,1.20421,1.24815,0.56477,0.77679,0.71179,0.6043,0.64405,1.05958,1.0479,0.00139599,0.00139599,0.00139599
9,161.951,0.87314,1.1044,1.20152,0.58405,0.7728,0.80001,0.69014,0.58654,0.89873,1.01644,0.00139127,0.00139127,0.00139127
10,182.941,0.90811,1.14536,1.2319,0.69396,0.76377,0.80353,0.69625,0.5891,0.82307,1.00738,0.00138656,0.00138656,0.00138656
11,202.468,0.89899,1.09995,1.20489,0.61119,0.82857,0.78124,0.68494,0.571,0.89091,1.00953,0.00138184,0.00138184,0.00138184
12,218.751,0.8635,1.02566,1.19248,0.57529,0.83576,0.74804,0.64877,0.59675,0.84985,1.02387,0.00137713,0.00137713,0.00137713
13,235.287,0.86321,1.04418,1.19474,0.68048,0.762,0.77279,0.67157,0.59339,0.85406,1.02005,0.00137241,0.00137241,0.00137241
14,251.697,0.85991,0.98252,1.19705,0.74896,0.70687,0.8019,0.70653,0.54799,0.84528,0.99915,0.0013677,0.0013677,0.0013677
15,272.447,0.86106,0.99509,1.18512,0.72524,0.79035,0.82569,0.731,0.54196,0.7609,0.99114,0.00136298,0.00136298,0.00136298
16,292.575,0.83585,0.9933,1.1658,0.75277,0.73721,0.82832,0.7134,0.57276,0.76989,1.01184,0.00135826,0.00135826,0.00135826
17,308.135,0.81556,0.92637,1.15901,0.80597,0.74521,0.84704,0.7451,0.53445,0.72002,0.99033,0.00135355,0.00135355,0.00135355
18,326.755,0.81938,0.89674,1.15958,0.81067,0.79551,0.87938,0.76741,0.57627,0.67383,1.01387,0.00134883,0.00134883,0.00134883
19,345.62,0.81478,0.91786,1.16572,0.71931,0.82636,0.85604,0.76461,0.52838,0.74565,0.99032,0.00134412,0.00134412,0.00134412
20,362.276,0.79326,0.87822,1.15747,0.81056,0.85113,0.86958,0.78176,0.51328,0.66183,0.98523,0.0013394,0.0013394,0.0013394
21,380.884,0.79379,0.86707,1.14082,0.75862,0.84824,0.8872,0.77694,0.54705,0.67135,0.99759,0.00133469,0.00133469,0.00133469
22,396.981,0.77066,0.82569,1.12211,0.81584,0.80582,0.89621,0.79267,0.52886,0.69082,0.99203,0.00132997,0.00132997,0.00132997
23,415.744,0.78931,0.86456,1.13358,0.80431,0.85634,0.90199,0.79902,0.52222,0.57829,0.99195,0.00132525,0.00132525,0.00132525
24,434.621,0.78996,0.86791,1.14012,0.83778,0.79409,0.87801,0.77627,0.54965,0.63599,0.9928,0.00132054,0.00132054,0.00132054
25,449.62,0.77589,0.84784,1.13585,0.89038,0.79485,0.91092,0.81185,0.5291,0.55844,0.99012,0.00131582,0.00131582,0.00131582
26,467.9,0.79216,0.81498,1.12952,0.83641,0.84796,0.90357,0.80639,0.52373,0.594,0.99639,0.00131111,0.00131111,0.00131111
27,483.545,0.76469,0.79999,1.12678,0.73817,0.89279,0.89533,0.79939,0.5112,0.58773,0.99865,0.00130639,0.00130639,0.00130639
28,499.708,0.75681,0.75825,1.12651,0.86942,0.88269,0.92794,0.84208,0.50168,0.49224,0.97923,0.00130168,0.00130168,0.00130168
29,518.374,0.73202,0.79271,1.09455,0.87805,0.83646,0.93103,0.82517,0.55093,0.5224,0.99248,0.00129696,0.00129696,0.00129696
30,533.644,0.73366,0.78889,1.11455,0.71914,0.88832,0.90262,0.80812,0.49818,0.66637,0.97401,0.00129224,0.00129224,0.00129224
31,549.739,0.72273,0.77287,1.08748,0.82252,0.92559,0.93229,0.82052,0.55014,0.49917,0.98946,0.00128753,0.00128753,0.00128753
32,565.094,0.74898,0.74294,1.12006,0.89876,0.88459,0.93449,0.83247,0.51754,0.48351,0.99464,0.00128281,0.00128281,0.00128281
33,581.073,0.76019,0.74544,1.12653,0.89111,0.8536,0.9317,0.82922,0.525,0.49323,0.99402,0.0012781,0.0012781,0.0012781
34,596.302,0.72786,0.75007,1.10188,0.88284,0.89263,0.92807,0.83344,0.50286,0.50451,0.98219,0.00127338,0.00127338,0.00127338
35,612.072,0.71747,0.73926,1.09754,0.88282,0.89644,0.93948,0.84293,0.51471,0.4969,0.98119,0.00126867,0.00126867,0.00126867
36,629.523,0.72488,0.76373,1.10018,0.91114,0.86879,0.94239,0.83937,0.50981,0.48375,0.97703,0.00126395,0.00126395,0.00126395
37,643.769,0.69832,0.72054,1.08514,0.85562,0.85274,0.93721,0.83117,0.53408,0.55272,0.99821,0.00125923,0.00125923,0.00125923
38,660.211,0.70797,0.6952,1.09566,0.92452,0.84505,0.94187,0.84602,0.51295,0.48386,0.9778,0.00125452,0.00125452,0.00125452
39,678.9,0.69062,0.66884,1.0793,0.90058,0.83975,0.93691,0.84959,0.49401,0.49515,0.97148,0.0012498,0.0012498,0.0012498
40,696.784,0.69612,0.6863,1.08268,0.92319,0.85869,0.93484,0.8376,0.53878,0.50175,0.98865,0.00124509,0.00124509,0.00124509
41,712.964,0.6947,0.66971,1.08854,0.94022,0.89149,0.94705,0.86474,0.49079,0.41595,0.96257,0.00124037,0.00124037,0.00124037
42,732.486,0.70409,0.67018,1.08397,0.87992,0.84898,0.93953,0.84384,0.5013,0.50781,0.972,0.00123566,0.00123566,0.00123566
43,747.657,0.67802,0.67326,1.07415,0.83139,0.86568,0.92068,0.83743,0.50089,0.52432,0.97115,0.00123094,0.00123094,0.00123094
44,763.198,0.68483,0.68071,1.08467,0.91833,0.88726,0.95041,0.86838,0.47796,0.43394,0.95186,0.00122622,0.00122622,0.00122622
45,784.715,0.67159,0.66043,1.05676,0.9126,0.8291,0.94117,0.85922,0.47617,0.50658,0.96273,0.00122151,0.00122151,0.00122151
46,800.119,0.68461,0.65751,1.07508,0.85034,0.89009,0.93663,0.84733,0.4868,0.50625,0.97205,0.00121679,0.00121679,0.00121679
