epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3648,0.83917,2.88093,1.20828,0.38521,0.79421,0.48982,0.43028,0.49481,1.37102,0.99657,0.00046641,0.00046641,0.00046641
2,80.4338,0.91408,1.60731,1.24474,0.25682,0.18007,0.13326,0.09971,nan,nan,nan,0.000939632,0.000939632,0.000939632
3,140.074,1.0111,1.41908,1.31211,0.3339,0.29171,0.18411,0.13575,nan,nan,nan,0.00140971,0.00140971,0.00140971
4,204.251,1.08685,1.42058,1.35674,0.4213,0.62111,0.46297,0.31449,1.16236,2.06204,1.45855,0.00141485,0.00141485,0.00141485
5,255.084,1.05142,1.31839,1.32685,0.37997,0.62564,0.37262,0.26647,1.11594,2.09623,1.44827,0.00141014,0.00141014,0.00141014
6,308.865,1.07896,1.33778,1.34537,0.40642,0.47319,0.41539,0.27541,nan,nan,nan,0.00140542,0.00140542,0.00140542
7,357.971,1.07324,1.29656,1.33276,0.58239,0.69555,0.65805,0.47555,1.04855,1.22013,1.33516,0.00140071,0.00140071,0.00140071
8,408.591,1.06168,1.2619,1.32911,0.61319,0.72207,0.71451,0.54112,0.97856,1.15646,1.27649,0.00139599,0.00139599,0.00139599
9,461.963,0.98692,1.1355,1.2896,0.57842,0.78058,0.74534,0.5801,0.91156,1.01733,1.24874,0.00139127,0.00139127,0.00139127
10,513.667,1.04104,1.18837,1.32849,0.6632,0.72309,0.77112,0.57951,0.97551,0.95489,1.27895,0.00138656,0.00138656,0.00138656
11,557.186,0.9866,1.07972,1.27076,0.64248,0.74597,0.76747,0.59003,0.92421,0.94854,1.26988,0.00138184,0.00138184,0.00138184
12,615.892,0.98569,1.05726,1.27194,0.73004,0.67934,0.7542,0.57163,0.97456,0.97881,1.28548,0.00137713,0.00137713,0.00137713
13,679.246,0.96511,1.06564,1.26781,0.6853,0.65461,0.72309,0.54448,1.0092,1.02425,1.3024,0.00137241,0.00137241,0.00137241
14,733.511,0.96261,1.00175,1.25715,0.69339,0.765,0.81118,0.62972,0.88343,0.90938,1.21404,0.0013677,0.0013677,0.0013677
15,781.581,0.96041,1.00232,1.26226,0.79376,0.71856,0.81116,0.64012,0.91182,0.84962,1.22941,0.00136298,0.00136298,0.00136298
16,844.298,0.92843,0.98668,1.2161,0.67581,0.70379,0.76493,0.59244,0.95351,1.10513,1.25298,0.00135826,0.00135826,0.00135826
17,905.855,0.91164,0.92779,1.22189,0.7412,0.71353,0.78469,0.62665,0.85351,0.90719,1.20328,0.00135355,0.00135355,0.00135355
18,960.565,0.95938,0.96011,1.25302,0.8678,0.7404,0.84151,0.64792,0.91691,0.74671,1.24505,0.00134883,0.00134883,0.00134883
19,1017.46,0.93454,0.95472,1.23655,0.77827,0.83465,0.87695,0.70133,0.81545,0.67332,1.16755,0.00134412,0.00134412,0.00134412
20,1064.07,0.91249,0.88202,1.23278,0.74209,0.75881,0.82045,0.63925,0.85645,0.78166,1.21072,0.0013394,0.0013394,0.0013394
21,1126.84,0.92609,0.87744,1.21971,0.80607,0.75602,0.83646,0.63838,0.91308,0.84788,1.24768,0.00133469,0.00133469,0.00133469
22,1181.58,0.88176,0.84544,1.194,0.81592,0.79768,0.8564,0.66975,0.82476,0.75396,1.18101,0.00132997,0.00132997,0.00132997
23,1231.21,0.89597,0.88056,1.20354,0.65217,0.77605,0.79294,0.60248,0.93361,0.93141,1.22852,0.00132525,0.00132525,0.00132525
24,1297.76,0.897,0.89965,1.2126,0.75168,0.75918,0.83267,0.66009,0.85722,0.78869,1.20347,0.00132054,0.00132054,0.00132054
25,1351.02,0.87932,0.85689,1.1973,0.76083,0.82242,0.86145,0.67688,0.88824,0.73294,1.20766,0.00131582,0.00131582,0.00131582
26,1398.22,0.86578,0.84,1.18043,0.91983,0.72173,0.87829,0.69755,0.8594,0.65567,1.20813,0.00131111,0.00131111,0.00131111
27,1451.6,0.8489,0.81384,1.17862,0.85321,0.81058,0.8805,0.68093,0.88286,0.70672,1.20518,0.00130639,0.00130639,0.00130639
28,1515.34,0.83708,0.77187,1.1679,0.83673,0.85366,0.9061,0.7414,0.77961,0.67587,1.14735,0.00130168,0.00130168,0.00130168
29,1578.37,0.83067,0.76438,1.1574,0.81534,0.7857,0.86029,0.66837,0.91062,0.80226,1.24289,0.00129696,0.00129696,0.00129696
30,1631.5,0.82863,0.77381,1.17374,0.78286,0.82307,0.87995,0.68204,0.89149,0.78855,1.23904,0.00129224,0.00129224,0.00129224
31,1682.91,0.83032,0.78678,1.15725,0.7877,0.87638,0.89818,0.71588,0.82229,0.62933,1.18638,0.00128753,0.00128753,0.00128753
32,1734.26,0.83264,0.77241,1.17554,0.86721,0.85416,0.89366,0.72252,0.78507,0.61737,1.1729,0.00128281,0.00128281,0.00128281
33,1798.15,0.85076,0.74509,1.18066,0.82078,0.81652,0.89008,0.68979,0.93368,0.66319,1.27643,0.0012781,0.0012781,0.0012781
34,1851.02,0.81431,0.74258,1.15155,0.88964,0.77391,0.86853,0.67784,0.88753,0.6708,1.21676,0.00127338,0.00127338,0.00127338
35,1891.23,0.81023,0.7792,1.15239,0.78227,0.8837,0.88082,0.69541,0.8642,0.70039,1.21,0.00126867,0.00126867,0.00126867
36,1950.07,0.79304,0.72462,1.13668,0.89528,0.79788,0.91884,0.76129,0.72251,0.59123,1.11996,0.00126395,0.00126395,0.00126395
37,2004.84,0.7907,0.70755,1.14557,0.88166,0.76235,0.87407,0.69625,0.87276,0.68546,1.21785,0.00125923,0.00125923,0.00125923
38,2045.7,0.79968,0.72025,1.1502,0.92046,0.79914,0.90148,0.71145,0.85055,0.62035,1.22227,0.00125452,0.00125452,0.00125452
39,2109.78,0.76508,0.69029,1.12099,0.84237,0.80453,0.89568,0.70232,0.85255,0.69444,1.20518,0.0012498,0.0012498,0.0012498
40,2175.03,0.75704,0.70188,1.11553,0.88463,0.83962,0.91336,0.7315,0.8005,0.61053,1.16078,0.00124509,0.00124509,0.00124509
41,2226.49,0.76579,0.69385,1.1326,0.85676,0.82194,0.8917,0.73027,0.79792,0.64819,1.16111,0.00124037,0.00124037,0.00124037
42,2286.44,0.78157,0.70758,1.13504,0.85635,0.79572,0.90302,0.75853,0.69798,0.62928,1.10374,0.00123566,0.00123566,0.00123566
43,2330.2,0.75854,0.71359,1.11253,0.8598,0.86484,0.90812,0.71776,0.86446,0.63368,1.20767,0.00123094,0.00123094,0.00123094
44,2394.12,0.74107,0.67942,1.11683,0.88414,0.82837,0.91769,0.7628,0.70333,0.56484,1.12398,0.00122622,0.00122622,0.00122622
45,2452.03,0.7283,0.63981,1.09052,0.87038,0.83632,0.91262,0.74168,0.75333,0.62406,1.15995,0.00122151,0.00122151,0.00122151
46,2487.11,0.74291,0.67747,1.1103,0.90494,0.8493,0.91338,0.74041,0.78174,0.5828,1.14437,0.00121679,0.00121679,0.00121679
47,2537.99,0.72906,0.66078,1.10242,0.92302,0.84436,0.92184,0.70693,0.90108,0.59007,1.24462,0.00121208,0.00121208,0.00121208
48,2582.46,0.73309,0.68155,1.10667,0.85735,0.85705,0.90779,0.74766,0.70863,0.59185,1.11634,0.00120736,0.00120736,0.00120736
49,2645.66,0.71965,0.67157,1.1042,0.87617,0.82398,0.8914,0.74879,0.73346,0.62307,1.13661,0.00120265,0.00120265,0.00120265
50,2687.46,0.73613,0.63834,1.10326,0.83437,0.83573,0.89422,0.7346,0.78323,0.58915,1.15874,0.00119793,0.00119793,0.00119793
51,2744.02,0.71567,0.65442,1.0903,0.81739,0.86142,0.89478,0.75216,0.68513,0.65977,1.09926,0.00119322,0.00119322,0.00119322
52,2801.09,0.71219,0.65567,1.09886,0.86152,0.84494,0.91694,0.76003,0.71579,0.60126,1.11808,0.0011885,0.0011885,0.0011885
53,2841.28,0.70197,0.61709,1.08432,0.83616,0.86897,0.90994,0.7556,0.70262,0.62846,1.12884,0.00118378,0.00118378,0.00118378
54,2896.05,0.7018,0.61625,1.08505,0.87746,0.88243,0.91978,0.78182,0.64801,0.53013,1.09168,0.00117907,0.00117907,0.00117907
55,2966.77,0.71127,0.63025,1.09429,0.94887,0.80874,0.92438,0.78718,0.64135,0.5084,1.07477,0.00117435,0.00117435,0.00117435
56,3022.21,0.69972,0.59236,1.08178,0.89484,0.86473,0.91457,0.77516,0.68067,0.54689,1.10672,0.00116964,0.00116964,0.00116964
57,3083.53,0.70474,0.62857,1.0959,0.86308,0.8632,0.90793,0.73967,0.77757,0.57162,1.15286,0.00116492,0.00116492,0.00116492
58,3133.69,0.69127,0.59582,1.07982,0.93569,0.802,0.90812,0.7662,0.65685,0.55448,1.08874,0.00116021,0.00116021,0.00116021
59,3181.96,0.67813,0.5704,1.06808,0.89553,0.85035,0.90112,0.7363,0.71219,0.63323,1.11994,0.00115549,0.00115549,0.00115549
60,3227.27,0.71038,0.62978,1.08941,0.9228,0.79899,0.90343,0.77241,0.63707,0.56862,1.06678,0.00115077,0.00115077,0.00115077
61,3283.29,0.71088,0.63129,1.09126,0.91344,0.83598,0.90023,0.77144,0.66306,0.58242,1.08687,0.00114606,0.00114606,0.00114606
62,3352.48,0.68347,0.59477,1.0735,0.85547,0.87491,0.90819,0.77388,0.64631,0.58846,1.09163,0.00114134,0.00114134,0.00114134
63,3418.9,0.69096,0.62711,1.08463,0.85248,0.84951,0.89074,0.75546,0.66051,0.58019,1.12679,0.00113663,0.00113663,0.00113663
64,3460.29,0.66647,0.55992,1.06219,0.90366,0.83559,0.91981,0.77511,0.69523,0.5638,1.12148,0.00113191,0.00113191,0.00113191
65,3503.89,0.6806,0.58583,1.07006,0.93054,0.79287,0.90228,0.76442,0.64294,0.57844,1.10666,0.0011272,0.0011272,0.0011272
66,3554.76,0.68096,0.58604,1.07164,0.90804,0.83865,0.90877,0.78442,0.63234,0.55296,1.0874,0.00112248,0.00112248,0.00112248
67,3602,0.66586,0.60248,1.06626,0.8328,0.84109,0.9025,0.76693,0.66485,0.61016,1.10573,0.00111776,0.00111776,0.00111776
68,3650.72,0.65406,0.58236,1.05593,0.89595,0.81735,0.92224,0.78698,0.65542,0.57394,1.09305,0.00111305,0.00111305,0.00111305
69,3699.53,0.64461,0.57518,1.0543,0.87044,0.81985,0.89591,0.71874,0.80606,0.70609,1.1628,0.00110833,0.00110833,0.00110833
70,3743.83,0.66545,0.58863,1.06745,0.8883,0.81213,0.91974,0.78146,0.65894,0.56836,1.11252,0.00110362,0.00110362,0.00110362
71,3787.25,0.64571,0.54918,1.05649,0.86534,0.86234,0.92072,0.78616,0.67454,0.5379,1.11118,0.0010989,0.0010989,0.0010989
72,3830.93,0.6385,0.55709,1.04574,0.87497,0.88647,0.9237,0.7861,0.67134,0.53276,1.10726,0.00109419,0.00109419,0.00109419
73,3869.86,0.65862,0.59751,1.05576,0.91321,0.82419,0.90024,0.76477,0.68495,0.56738,1.10248,0.00108947,0.00108947,0.00108947
74,3923.49,0.64524,0.56393,1.05003,0.92309,0.83982,0.907,0.76572,0.71388,0.5416,1.11714,0.00108475,0.00108475,0.00108475
75,3979.03,0.63908,0.54646,1.05113,0.87128,0.87498,0.90686,0.78517,0.63447,0.54769,1.09052,0.00108004,0.00108004,0.00108004
76,4028.57,0.64419,0.56042,1.05714,0.92561,0.87727,0.9256,0.79392,0.6238,0.48189,1.09991,0.00107532,0.00107532,0.00107532
77,4091.2,0.65254,0.56484,1.0495,0.92848,0.82856,0.89764,0.7828,0.60909,0.56732,1.06665,0.00107061,0.00107061,0.00107061
78,4136.36,0.66202,0.57832,1.05453,0.90855,0.87303,0.92268,0.79389,0.63536,0.50122,1.09226,0.00106589,0.00106589,0.00106589
79,4186.49,0.6324,0.53918,1.046,0.90903,0.87322,0.93375,0.79192,0.6776,0.49753,1.10839,0.00106118,0.00106118,0.00106118
80,4249.26,0.6178,0.52499,1.02879,0.94212,0.86322,0.92665,0.76508,0.75499,0.5273,1.1764,0.00105646,0.00105646,0.00105646
81,4300.39,0.63706,0.55125,1.04515,0.90285,0.87567,0.91483,0.76259,0.69049,0.52534,1.13692,0.00105174,0.00105174,0.00105174
82,4350.94,0.63096,0.5541,1.04787,0.93219,0.86271,0.93243,0.77479,0.7357,0.52918,1.1306,0.00104703,0.00104703,0.00104703
83,4404.72,0.58957,0.50177,1.01732,0.92123,0.8763,0.93194,0.79851,0.65342,0.4882,1.10199,0.00104231,0.00104231,0.00104231
84,4458.26,0.61318,0.52849,1.03012,0.90101,0.87873,0.92286,0.80104,0.63693,0.50715,1.10039,0.0010376,0.0010376,0.0010376
85,4504.2,0.59963,0.49296,1.02168,0.88358,0.87304,0.91205,0.78587,0.6235,0.5529,1.10525,0.00103288,0.00103288,0.00103288
86,4559.79,0.62406,0.56144,1.05163,0.87918,0.82611,0.90172,0.78474,0.61393,0.60076,1.07612,0.00102817,0.00102817,0.00102817
87,4602.88,0.6046,0.52696,1.02818,0.92292,0.82797,0.91822,0.79344,0.61986,0.58032,1.08705,0.00102345,0.00102345,0.00102345
88,4643.49,0.6135,0.5146,1.02363,0.90143,0.84641,0.92925,0.81248,0.57189,0.49967,1.05967,0.00101873,0.00101873,0.00101873
89,4700.76,0.6134,0.51632,1.02508,0.91628,0.82927,0.9176,0.7885,0.64593,0.58284,1.09092,0.00101402,0.00101402,0.00101402
90,4752.87,0.65043,0.54267,1.051,0.89718,0.86805,0.93795,0.79054,0.68479,0.50157,1.1154,0.0010093,0.0010093,0.0010093
91,4812.83,0.6293,0.51319,1.03534,0.90655,0.87632,0.9248,0.81272,0.59382,0.49275,1.07249,0.00100459,0.00100459,0.00100459
92,4864.66,0.61994,0.52403,1.02712,0.93099,0.87123,0.93347,0.82417,0.58243,0.46816,1.06746,0.000999871,0.000999871,0.000999871
93,4912.74,0.60685,0.54185,1.0408,0.94206,0.86561,0.92171,0.80028,0.62721,0.50993,1.08807,0.000995156,0.000995156,0.000995156
94,4964.33,0.59714,0.53089,1.01939,0.93142,0.85541,0.915,0.77654,0.6773,0.5202,1.12538,0.00099044,0.00099044,0.00099044
95,5016.65,0.6066,0.54309,1.03224,0.945,0.83934,0.93095,0.80952,0.62247,0.50115,1.09836,0.000985724,0.000985724,0.000985724
96,5059.81,0.59423,0.51311,1.0284,0.90906,0.88638,0.93576,0.81523,0.6009,0.46568,1.0846,0.000981008,0.000981008,0.000981008
97,5102.85,0.6108,0.52029,1.02613,0.89077,0.90092,0.92741,0.81916,0.58133,0.49871,1.07707,0.000976293,0.000976293,0.000976293
98,5166.84,0.59798,0.50598,1.02477,0.8817,0.86623,0.92308,0.80597,0.59565,0.5658,1.09012,0.000971577,0.000971577,0.000971577
99,5210.58,0.59076,0.5068,1.02344,0.89816,0.87078,0.92225,0.81731,0.58432,0.52965,1.07782,0.000966861,0.000966861,0.000966861
