epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,403.857,1.44381,3.9459,1.91046,0.34838,0.83016,0.40977,0.17953,1.92128,1.76046,2.14325,0.00046641,0.00046641,0.00046641
2,598.706,1.30166,1.80154,1.70917,0.36961,0.35037,0.24575,0.12236,nan,nan,nan,0.000939632,0.000939632,0.000939632
3,810.029,1.32703,1.5647,1.72342,0.00193,0.09464,0.00137,0.00031,4.08024,4.69821,9.58908,0.00140971,0.00140971,0.00140971
4,1096.2,1.40574,1.55914,1.80258,0.2539,0.18463,0.10023,0.02329,nan,nan,nan,0.00141485,0.00141485,0.00141485
5,1314.93,1.32183,1.4789,1.70029,0.19923,0.07035,0.06289,0.02841,nan,nan,nan,0.00141014,0.00141014,0.00141014
6,1495.89,1.31177,1.37801,1.68909,0.17508,0.03935,0.01563,0.00374,4.36033,4.03947,5.57846,0.00140542,0.00140542,0.00140542
7,1704.93,1.29519,1.37199,1.66725,0.55399,0.68609,0.6194,0.36298,1.60593,1.28335,1.72409,0.00140071,0.00140071,0.00140071
8,1904.98,1.24045,1.37896,1.6268,0.71725,0.53569,0.61742,0.46394,1.17286,1.35266,1.425,0.00139599,0.00139599,0.00139599
9,2169.49,1.2064,1.26431,1.61122,0.65574,0.64051,0.66915,0.45462,1.33533,1.18048,1.53127,0.00139127,0.00139127,0.00139127
10,2355.28,1.1987,1.30212,1.59408,0.64481,0.67202,0.65222,0.42725,1.29,1.12699,1.59872,0.00138656,0.00138656,0.00138656
11,2627.28,1.23214,1.30187,1.62423,0.67413,0.67621,0.69705,0.46311,1.23011,1.45929,1.46102,0.00138184,0.00138184,0.00138184
12,2810.26,1.18858,1.23817,1.57552,0.68803,0.72278,0.73437,0.43744,1.56623,1.09266,1.76487,0.00137713,0.00137713,0.00137713
13,3005.89,1.17396,1.18003,1.56165,0.76703,0.67699,0.75885,0.48855,1.31362,1.02807,1.52993,0.00137241,0.00137241,0.00137241
14,3204.77,1.13686,1.20256,1.51894,0.65309,0.7281,0.72993,0.45863,1.42424,1.11128,1.62965,0.0013677,0.0013677,0.0013677
15,3383.59,1.17457,1.19035,1.56943,0.72231,0.68517,0.7276,0.42401,1.59593,1.12597,1.73197,0.00136298,0.00136298,0.00136298
16,3590.04,1.15177,1.16841,1.55406,0.65773,0.76284,0.7182,0.4911,1.28304,1.09888,1.49185,0.00135826,0.00135826,0.00135826
17,3840.83,1.08994,1.16724,1.50345,0.61225,0.71255,0.67677,0.49534,1.13738,1.14757,1.38818,0.00135355,0.00135355,0.00135355
18,4057.05,1.15111,1.15852,1.54481,0.64423,0.72184,0.73122,0.5274,1.20706,1.04439,1.43812,0.00134883,0.00134883,0.00134883
19,4315.4,1.1173,1.11466,1.51228,0.67598,0.71737,0.73679,0.50825,1.27103,1.02427,1.47803,0.00134412,0.00134412,0.00134412
20,4489.36,1.07386,1.12674,1.47973,0.64658,0.75189,0.76961,0.47212,1.4736,1.03449,1.7072,0.0013394,0.0013394,0.0013394
21,4662,1.09003,1.07034,1.47487,0.52393,0.7401,0.66415,0.48067,1.06934,1.22343,1.38251,0.00133469,0.00133469,0.00133469
22,4843.5,1.03841,1.07388,1.44802,0.60842,0.81022,0.72389,0.50979,1.18153,1.07822,1.41635,0.00132997,0.00132997,0.00132997
23,5058.01,1.06653,1.086,1.4637,0.75932,0.74226,0.78143,0.50831,1.34095,0.9842,1.55176,0.00132525,0.00132525,0.00132525
24,5272.61,1.06217,1.09601,1.47493,0.71914,0.71386,0.74657,0.48314,1.36093,1.04442,1.55222,0.00132054,0.00132054,0.00132054
25,5459.08,1.03306,1.04223,1.43803,0.68618,0.75531,0.73241,0.53871,1.08991,1.13727,1.37103,0.00131582,0.00131582,0.00131582
26,5714.36,1.02436,1.04906,1.4246,0.64456,0.72707,0.74851,0.54009,1.17498,0.91244,1.42442,0.00131111,0.00131111,0.00131111
27,5868.12,1.04492,1.04846,1.44347,0.77142,0.745,0.80065,0.49339,1.50315,0.93038,1.6799,0.00130639,0.00130639,0.00130639
28,6037.6,1.0563,1.0063,1.44672,0.64654,0.7471,0.72263,0.52554,1.0944,1.02743,1.3577,0.00130168,0.00130168,0.00130168
29,6239.21,1.01708,1.04466,1.44332,0.71754,0.79789,0.79709,0.55632,1.23409,0.90974,1.45697,0.00129696,0.00129696,0.00129696
30,6485.95,1.04748,1.04325,1.43884,0.80036,0.7108,0.80602,0.58515,1.066,0.84627,1.33617,0.00129224,0.00129224,0.00129224
31,6668.17,1.01893,0.98148,1.41892,0.76805,0.75041,0.79764,0.57463,1.10964,0.87703,1.37328,0.00128753,0.00128753,0.00128753
32,6884.51,0.99995,0.98762,1.3941,0.75572,0.76273,0.79876,0.53358,1.28719,0.91964,1.50615,0.00128281,0.00128281,0.00128281
33,7079.99,1.00851,1.00203,1.40697,0.71199,0.80768,0.80744,0.56355,1.18489,0.90123,1.41731,0.0012781,0.0012781,0.0012781
34,28.043,1.21537,1.15158,1.64851,0,0,0,0,nan,nan,nan,0.00127338,0.00127338,0.00127338
35,97.4489,1.0841,1.06309,1.48888,0.64034,0.55896,0.59599,0.28896,1.83591,1.33915,2.37332,0.00126867,0.00126867,0.00126867
36,202.012,1.03795,1.01374,1.44634,0.72992,0.64728,0.76494,0.50168,1.18499,1.03438,1.52598,0.00126395,0.00126395,0.00126395
37,259.123,1.00603,0.96468,1.43117,0.7816,0.72177,0.78939,0.51583,1.33021,0.90584,1.53721,0.00125923,0.00125923,0.00125923
38,345.191,1.03536,0.98631,1.43295,0.76522,0.79909,0.83484,0.59297,1.17714,0.86072,1.42086,0.00125452,0.00125452,0.00125452
39,408.605,1.05093,0.99118,1.444,0.75401,0.75077,0.80787,0.50846,1.41659,0.95942,1.58913,0.0012498,0.0012498,0.0012498
40,580.028,1.03955,0.9702,1.43634,0.76555,0.72166,0.80744,0.53662,1.2841,0.91673,1.46367,0.00124509,0.00124509,0.00124509
41,646.558,1.00573,0.95177,1.40623,0.74301,0.73952,0.79046,0.54715,1.1673,0.90158,1.40767,0.00124037,0.00124037,0.00124037
42,704.162,0.99293,0.90409,1.4016,0.75219,0.8012,0.81199,0.60534,1.01039,0.83195,1.31937,0.00123566,0.00123566,0.00123566
43,771.371,0.99706,0.93099,1.39827,0.77088,0.78283,0.82682,0.5168,1.39704,0.88408,1.57296,0.00123094,0.00123094,0.00123094
44,846.919,0.97977,0.90843,1.38139,0.78165,0.76141,0.82377,0.51332,1.4485,0.92962,1.61879,0.00122622,0.00122622,0.00122622
45,901.605,0.95779,0.8838,1.36701,0.81953,0.81511,0.84545,0.58124,1.19754,0.78712,1.43485,0.00122151,0.00122151,0.00122151
46,981.783,0.95727,0.86998,1.37433,0.7778,0.71102,0.80556,0.53608,1.25823,0.90406,1.49186,0.00121679,0.00121679,0.00121679
47,1022.23,0.94764,0.89125,1.34943,0.80267,0.7211,0.81116,0.54652,1.23746,0.88438,1.48684,0.00121208,0.00121208,0.00121208
48,1064.86,0.99277,0.86916,1.39901,0.73928,0.81988,0.82247,0.54092,1.36907,0.87542,1.54641,0.00120736,0.00120736,0.00120736
