epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3423,1.51658,3.27423,1.89773,0.30009,0.72249,0.36307,0.26984,0.82488,1.67162,1.18028,0.00046641,0.00046641,0.00046641
2,85.7988,1.35638,1.85206,1.70693,0,0,0,0,5.68731,inf,19.0408,0.000939632,0.000939632,0.000939632
3,150.319,1.42812,1.7313,1.77158,0.09164,0.05997,0.01815,0.00913,4.06847,7.61308,8.76873,0.00140971,0.00140971,0.00140971
4,218.267,1.4092,1.62852,1.75079,0,0,0,0,nan,nan,nan,0.00141485,0.00141485,0.00141485
5,263.35,1.4015,1.53412,1.7111,0.67204,0.00498,0.00099,0.00018,nan,nan,nan,0.00141014,0.00141014,0.00141014
6,329.194,1.36595,1.49801,1.68075,0,0,0,0,nan,nan,nan,0.00140542,0.00140542,0.00140542
7,392.966,1.33755,1.54396,1.65649,0.33477,0.00629,0.00047,0.00021,5.46227,15.874,96.8897,0.00140071,0.00140071,0.00140071
8,450.176,1.28509,1.4314,1.6211,0.76165,0.01493,0.00805,0.00333,3.97314,4.38201,3.92797,0.00139599,0.00139599,0.00139599
9,514.848,1.27675,1.37809,1.61242,0.5037,0.55998,0.56889,0.37639,1.36709,1.4439,1.56075,0.00139127,0.00139127,0.00139127
10,561.828,1.26735,1.40586,1.61083,0.61246,0.73919,0.7103,0.48306,1.22208,1.09733,1.47936,0.00138656,0.00138656,0.00138656
11,613.802,1.26411,1.3772,1.60796,0.54637,0.5619,0.59391,0.38699,1.36796,1.3658,1.60561,0.00138184,0.00138184,0.00138184
12,662.519,1.20916,1.36166,1.53884,0.6961,0.71737,0.75641,0.49395,1.3131,1.1249,1.519,0.00137713,0.00137713,0.00137713
13,741.497,1.20872,1.28971,1.53288,0.67932,0.72456,0.76349,0.56235,1.05976,1.04496,1.32651,0.00137241,0.00137241,0.00137241
14,818.49,1.21277,1.27542,1.5465,0.54516,0.53334,0.52837,0.34813,1.44072,1.73911,1.65485,0.0013677,0.0013677,0.0013677
15,880.699,1.18264,1.29022,1.51264,0.62062,0.57769,0.6411,0.43699,1.24884,1.24222,1.51381,0.00136298,0.00136298,0.00136298
16,947.964,1.16004,1.28111,1.50651,0.39951,0.45773,0.41795,0.21001,1.79686,1.8372,1.88477,0.00135826,0.00135826,0.00135826
17,1000.32,1.16738,1.26566,1.51479,0.66431,0.71299,0.73976,0.52186,1.08375,0.97564,1.36133,0.00135355,0.00135355,0.00135355
18,1064.56,1.17494,1.23203,1.52646,0.69266,0.71827,0.78332,0.58224,1.06772,0.91829,1.34808,0.00134883,0.00134883,0.00134883
19,1135.84,1.1389,1.18942,1.50255,0.72287,0.71418,0.79223,0.53069,1.20906,1.0441,1.45414,0.00134412,0.00134412,0.00134412
20,1196.78,1.1376,1.15371,1.49753,0.76803,0.70261,0.78891,0.52756,1.17698,0.89583,1.42428,0.0013394,0.0013394,0.0013394
21,1271.26,1.13123,1.17398,1.49598,0.67701,0.69559,0.74617,0.54964,1.02234,0.96646,1.31916,0.00133469,0.00133469,0.00133469
