epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4593,1.40656,3.40184,1.78201,0.32953,0.74256,0.35334,0.23725,1.27825,1.85549,1.73381,0.00046641,0.00046641,0.00046641
2,86.9262,1.32918,1.78504,1.67726,0,0,0,0,nan,nan,nan,0.000939632,0.000939632,0.000939632
3,150.654,1.373,1.54646,1.70275,0,0,0,0,nan,nan,nan,0.00140971,0.00140971,0.00140971
4,213.731,1.40904,1.50295,1.74213,0.00065,0.00995,0.00014,8e-05,nan,nan,nan,0.00141485,0.00141485,0.00141485
5,278.499,1.38073,1.42387,1.69044,0.7583,0.51785,0.65895,0.39603,nan,nan,nan,0.00141014,0.00141014,0.00141014
6,381.82,1.29685,1.35223,1.62858,0.75049,0.67175,0.75656,0.48386,1.36029,1.37429,1.54589,0.00140542,0.00140542,0.00140542
7,489.22,1.2965,1.27258,1.6272,0.68715,0.68345,0.71499,0.47909,1.31855,1.12209,1.54416,0.00140071,0.00140071,0.00140071
8,570.264,1.28177,1.24178,1.61003,0.75751,0.72167,0.77283,0.51222,1.29631,1.04299,1.50107,0.00139599,0.00139599,0.00139599
9,683.791,1.23529,1.24315,1.59294,0.74783,0.75693,0.79449,0.53104,1.2546,0.98092,1.47158,0.00139127,0.00139127,0.00139127
10,789.982,1.22038,1.21938,1.56992,0.75622,0.78058,0.80039,0.51093,1.33828,0.94349,1.51804,0.00138656,0.00138656,0.00138656
11,869.859,1.22913,1.23959,1.57325,0.77362,0.78603,0.80994,0.57226,1.17288,0.91378,1.40765,0.00138184,0.00138184,0.00138184
12,977.042,1.21954,1.18592,1.56341,0.79875,0.67334,0.77345,0.57843,1.04222,1.00286,1.33796,0.00137713,0.00137713,0.00137713
13,1073.35,1.19789,1.16532,1.54235,0.66678,0.68372,0.70429,0.49653,1.1186,1.06523,1.3822,0.00137241,0.00137241,0.00137241
14,1150.98,1.15641,1.12276,1.52899,0.50879,0.43655,0.43382,0.25382,1.63618,1.98919,1.66313,0.0013677,0.0013677,0.0013677
15,1195.93,1.17132,1.06544,1.53013,0.64133,0.69933,0.69652,0.51865,1.05603,1.17877,1.35274,0.00136298,0.00136298,0.00136298
16,1267.38,1.16133,1.10644,1.51986,0.69097,0.61893,0.68264,0.45872,1.19708,1.24262,1.4541,0.00135826,0.00135826,0.00135826
17,1336.81,1.16835,1.11972,1.5213,0.74152,0.75619,0.79274,0.55138,1.1949,0.96827,1.40766,0.00135355,0.00135355,0.00135355
18,1381.2,1.14069,1.08848,1.51522,0.54844,0.34303,0.39657,0.21062,2.02499,2.28585,1.966,0.00134883,0.00134883,0.00134883
